NOMBRE_DEL_PROGRAMA,CINE_F_2013_AC_CAMPO_DETALLADO,NÚMERO_PERIODOS_DE_DURACIÓN,PERIODICIDAD,COSTO_MATRÍCULA_ESTUD_NUEVOS,MEDIANA_SALARIO,costo_total_con_inflacion
LICENCIATURA EN EDUCACION BASICA PRIMARIA,CIENCIAS DE LA EDUCACION,10,Semestral,239494,3021412,3901104.897454367
"LICENCIATURA EN EDUCACION FISICA,RECREACION Y DEPORTES",FORMACION PARA DOCENTES CON ASIGNATURA DE ESPECIALIZACION,10,Semestral,294908,2901515,4803740.565936819
LICENCIATURA EN ETNOEDUCACION,FORMACION PARA DOCENTES SIN ASIGNATURA DE ESPECIALIZACION,10,Anual,234197,3381944,1494506.5654640628
LICENCIATURA EN LENGUAS MODERNAS CON ENFASIS EN INGLES Y FRANCES,EDUCACION NO CLASIFICADA EN OTRA PARTE,10,Semestral,613440,3111111,9992291.19850354
LICENCIATURA EN LENGUAS MODERNAS CON ENFASIS EN INGLES Y FRANCES,FORMACION PARA DOCENTES CON ASIGNATURA DE ESPECIALIZACION,10,Semestral,372862,2901515,6073529.083294906
LICENCIATURA EN LITERATURA Y LENGUA CASTELLANA,CIENCIAS DE LA EDUCACION,10,Semestral,293874,3021412,4786897.79549594
LICENCIATURA EN MATEMATICAS,CIENCIAS DE LA EDUCACION,10,Semestral,310762,3021412,5061985.520066114
LICENCIATURA EN MUSICA,CIENCIAS DE LA EDUCACION,10,Semestral,433401,3021412,7059645.601399701
MATEMATICAS,MATEMATICAS,10,Semestral,378437,3125000,6164339.958737749
MEDICINA,MEDICINA,13,Semestral,714837,3500000,17523113.087361902
MUSICA INSTRUMENTAL,MUSICA Y ARTES ESCENICAS,12,Semestral,504579,3131173,10873816.669535045
QUIMICA,QUIMICA,10,Semestral,500033,3305556,8145010.669114047
TURISMO,PROGRAMAS Y CERTIFICACIONES INTERDISCIPLINARIOS RELATIVOS A ADMINISTRACION DE EMPRESAS Y DERECHO,10,Semestral,280327,2800000,4566231.4404064
ADMINISTRACION AMBIENTAL,GESTION Y ADMINISTRACION,10,Semestral,582339,3362637,9485688.680629488
ADMINISTRACION DE EMPRESAS,GESTION Y ADMINISTRACION,9,Semestral,4002791,3362637,55886783.58868375
ADMINISTRACION DEL TURISMO SOSTENIBLE,GESTION Y ADMINISTRACION,10,Semestral,4447545,3362637,72445821.52850878
ADMINISTRACION INDUSTRIAL,GESTION Y ADMINISTRACION,11,Semestral,4002791,3362637,75307440.88575135
CIENCIAS DEL DEPORTE Y  LA RECREACION,PROGRAMAS Y CERTIFICACIONES INTERDISCIPLINARIOS RELATIVOS A SALUD Y BIENESTAR,10,Semestral,638229,3685606,10396077.8875354
INGENIERIA DE MANUFACTURA,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,675371,3809524,11001081.929813078
INGENIERIA DE SISTEMAS Y COMPUTACION,USO DE COMPUTADORES,10,Semestral,2761406,3937500,44980393.95750989
INGENIERIA ELECTRICA,ELECTRICIDAD Y ENERGIA,10,Semestral,587212,3857143,9565064.715792352
INGENIERIA ELECTRONICA,ELECTRONICA Y AUTOMATIZACION,10,Semestral,4002791,4157197,65201247.52013104
INGENIERIA EN PROCESOS AGROINDUSTRIALES,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,617926,3809524,10065363.411460776
INGENIERIA EN PROCESOS SOSTENIBLES DE LAS MADERAS,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,601289,3809524,9794364.212403813
INGENIERIA FISICA,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,741071,3809524,12071265.699605858
INGENIERIA INDUSTRIAL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,2770304,3809524,45125333.001400545
INGENIERIA MECANICA,MECANICA Y PROFESIONES AFINES A LA METALISTERIA,10,Semestral,798092,4138889,13000077.704740623
INGENIERIA MECATRONICA,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,4002791,3809524,65201247.52013104
LICENCIATURA EN ARTES VISUALES,CIENCIAS DE LA EDUCACION,10,Semestral,707618,3021412,11526351.58011
LICENCIATURA EN BILINGUISMO CON ENFASIS EN INGLES,CIENCIAS DE LA EDUCACION,10,Semestral,621825,3021412,10128874.012958828
LICENCIATURA EN CIENCIAS SOCIALES,CIENCIAS DE LA EDUCACION,8,Semestral,553145,3021412,6537976.73163761
LICENCIATURA EN EDUCACION BASICA PRIMARIA,CIENCIAS DE LA EDUCACION,10,Semestral,522111,3021412,8504638.02481397
LICENCIATURA EN ETNOEDUCACION,FORMACION PARA DOCENTES SIN ASIGNATURA DE ESPECIALIZACION,10,Semestral,508986,3381944,8290845.605049431
LICENCIATURA EN FILOSOFIA,CIENCIAS DE LA EDUCACION,10,Semestral,634041,3021412,10327859.78056596
LICENCIATURA EN MATEMATICAS Y FISICA,CIENCIAS DE LA EDUCACION,12,Semestral,494594,3021412,10658637.164551074
LICENCIATURA EN MUSICA,CIENCIAS DE LA EDUCACION,10,Semestral,616748,3021412,10046175.032757338
LICENCIATURA EN TECNOLOGIA,CIENCIAS DE LA EDUCACION,10,Semestral,572922,3021412,9332295.673625857
MEDICINA,MEDICINA,13,Semestral,1374688,3500000,33698330.22610659
MEDICINA VETERINARIA Y ZOOTECNIA,VETERINARIA,10,Semestral,8895091,3555556,144891659.34596384
QUIMICA INDUSTRIAL,QUIMICA,10,Semestral,635232,3305556,10347259.915570881
ADMINISTRACION DE EMPRESAS AGROPECUARIAS,GESTION Y ADMINISTRACION,10,Semestral,1922400,3362637,31313870.305169545
ADMINISTRACION FINANCIERA,"GESTION FINANCIERA, ADMINISTRACION BANCARIA Y SEGUROS",10,Semestral,2819500,3141667,45926684.001989976
ANTROPOLOGIA,HISTORIA Y ARQUEOLOGIA,10,Semestral,3844700,3333333,62626111.71571232
ARTES PLASTICAS,BELLAS ARTES,10,Semestral,3844700,3068750,62626111.71571232
BIOLOGIA,BIOLOGIA,10,Semestral,3844700,3444444,62626111.71571232
DERECHO,DERECHO,10,Semestral,3844700,2761905,62626111.71571232
DESARROLLO FAMILIAR,TRABAJO SOCIAL,10,Semestral,3844700,3222222,62626111.71571232
DISENO VISUAL,"DISENO INDUSTRIAL, DE MODA E INTERIORES",10,Semestral,3844700,3645238,62626111.71571232
ENFERMERIA,ENFERMERIA Y PARTERIA,10,Semestral,3844700,2666667,62626111.71571232
FILOSOFIA Y LETRAS,FILOSOFIA Y ETICA,10,Semestral,3844700,3023810,62626111.71571232
GEOLOGIA,CIENCIAS DE LA TIERRA,10,Semestral,3844700,2916667,62626111.71571232
HISTORIA,CIENCIAS POLITICAS Y EDUCACION CIVICA,8,Semestral,3844700,3535088,45442983.55788648
INGENIERIA AGRONOMICA,PRODUCCION AGRICOLA Y GANADERA,10,Semestral,3844700,3391667,62626111.71571232
INGENIERIA DE ALIMENTOS,PROCESAMIENTO DE ALIMENTOS,10,Semestral,3844700,3111111,62626111.71571232
INGENIERIA DE SISTEMAS Y  COMPUTACION,DESARROLLO Y ANALISIS DE SOFTWARE Y APLICACIONES,10,Semestral,3844700,4758929,62626111.71571232
INGENIERIA EN INFORMATICA,USO DE COMPUTADORES,9,Semestral,2819500,3937500,39365729.14456284
INGENIERIA MECATRONICA,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,2819500,3809524,45926684.001989976
LICENCIATURA EN ARTES ESCENICAS,FORMACION PARA DOCENTES CON ASIGNATURA DE ESPECIALIZACION,10,Semestral,3844700,2901515,62626111.71571232
LICENCIATURA EN CIENCIAS NATURALES,CIENCIAS DE LA EDUCACION,10,Semestral,3844700,3021412,62626111.71571232
LICENCIATURA EN CIENCIAS SOCIALES,FORMACION PARA DOCENTES CON ASIGNATURA DE ESPECIALIZACION,10,Semestral,3844700,2901515,62626111.71571232
"LICENCIATURA EN EDUCACION FISICA, RECREACION Y DEPORTE",FORMACION PARA DOCENTES CON ASIGNATURA DE ESPECIALIZACION,10,Semestral,3844700,2901515,62626111.71571232
LICENCIATURA EN FILOSOFIA Y LETRAS,FORMACION PARA DOCENTES CON ASIGNATURA DE ESPECIALIZACION,10,Semestral,3844700,2901515,62626111.71571232
LICENCIATURA EN LENGUAS MODERNAS,FORMACION PARA DOCENTES CON ASIGNATURA DE ESPECIALIZACION,10,Semestral,3844700,2901515,62626111.71571232
LICENCIATURA EN MUSICA,CIENCIAS DE LA EDUCACION,10,Semestral,3844700,3021412,62626111.71571232
MAESTRO EN MUSICA,MUSICA Y ARTES ESCENICAS,10,Semestral,3844700,3131173,62626111.71571232
MEDICINA,MEDICINA,13,Semestral,3844700,3500000,94246818.34737192
MEDICINA VETERINARIA Y ZOOTECNIA,VETERINARIA,10,Semestral,3844700,3555556,62626111.71571232
SOCIOLOGIA,"SOCIOLOGIA, ANTROPOLOGIA Y ESTUDIOS CULTURALES",10,Semestral,3844700,3611111,62626111.71571232
TRABAJO SOCIAL,TRABAJO SOCIAL,10,Semestral,2819500,3222222,45926684.001989976
